2026-03-23 16:21:43 | week=2 sw=d level=9   | phase1_store_results         |    0.71s | 1 results
2026-03-23 16:21:44 | week=2 sw=d level=9   | phase2_stat_accum            |    1.17s | 1 results
2026-03-23 16:21:45 | week=2 sw=d level=9   | phase2_position_usage        |    0.24s | 
2026-03-23 16:21:45 | week=2 sw=d level=9   | phase2_stamina_injuries      |    0.37s | 
2026-03-23 16:21:45 | week=2 sw=d level=    | global_stamina_recovery      |    0.15s | 
2026-03-23 16:21:45 | week=2 sw=  level=    | build_week_payloads          |  171.94s | all levels
2026-03-23 16:21:47 | week=2 sw=  level=    | weekly_tick_injuries         |    0.48s | 
2026-03-23 16:21:56 | week=2 sw=  level=    | weekly_books                 |    9.32s | 
2026-03-23 16:21:57 | week=2 sw=  level=    | weekly_waivers               |    0.24s | 
2026-03-23 16:21:57 | week=2 sw=  level=    | weekly_fa_auction            |    0.25s | 
2026-03-23 16:22:15 | week=2 sw=  level=    | weekly_listed_positions      |   18.35s | 
2026-03-23 16:22:15 | week=2 sw=  level=    | weekly_processing_total      |   28.64s | 
2026-03-23 16:22:19 | week=3 sw=  level=    | load_week_cache              |    3.13s | 339 teams
2026-03-23 16:22:22 | week=3 sw=a level=9   | load_subweek_state           |    2.38s | 780 players
2026-03-23 16:22:22 | week=3 sw=a level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:22:23 | week=3 sw=a level=3   | load_subweek_state           |    3.27s | 8603 players
2026-03-23 16:22:23 | week=3 sw=a level=3   | build_payloads               |    0.31s | 150 games
2026-03-23 16:22:28 | week=3 sw=a level=9   | engine_call                  |    5.76s | 15 games
2026-03-23 16:22:34 | week=3 sw=a level=9   | phase1_store_results         |    6.25s | 15 results
2026-03-23 16:22:44 | week=3 sw=a level=3   | engine_call                  |   20.80s | 150 games
2026-03-23 16:22:52 | week=3 sw=a level=3   | phase1_store_results         |    7.48s | 150 results
2026-03-23 16:22:55 | week=3 sw=a level=9   | phase2_stat_accum            |    2.83s | 15 results
2026-03-23 16:22:55 | week=3 sw=a level=9   | phase2_position_usage        |    0.55s | 
2026-03-23 16:22:58 | week=3 sw=a level=9   | phase2_stamina_injuries      |    2.19s | 
2026-03-23 16:23:14 | week=3 sw=a level=3   | phase2_stat_accum            |   16.80s | 150 results
2026-03-23 16:23:19 | week=3 sw=a level=3   | phase2_position_usage        |    4.61s | 
2026-03-23 16:23:32 | week=3 sw=a level=3   | phase2_stamina_injuries      |   12.59s | 
2026-03-23 16:23:32 | week=3 sw=a level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:23:33 | week=3 sw=b level=9   | load_subweek_state           |    0.52s | 780 players
2026-03-23 16:23:33 | week=3 sw=b level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:23:38 | week=3 sw=b level=9   | engine_call                  |    5.48s | 15 games
2026-03-23 16:23:44 | week=3 sw=b level=9   | phase1_store_results         |    5.70s | 15 results
2026-03-23 16:23:48 | week=3 sw=b level=9   | phase2_stat_accum            |    2.22s | 15 results
2026-03-23 16:23:49 | week=3 sw=b level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:23:50 | week=3 sw=b level=9   | phase2_stamina_injuries      |    1.47s | 
2026-03-23 16:23:50 | week=3 sw=b level=    | global_stamina_recovery      |    0.16s | 
2026-03-23 16:23:51 | week=3 sw=c level=9   | load_subweek_state           |    0.58s | 780 players
2026-03-23 16:23:51 | week=3 sw=c level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:23:52 | week=3 sw=c level=3   | load_subweek_state           |    1.50s | 8540 players
2026-03-23 16:23:52 | week=3 sw=c level=3   | build_payloads               |    0.28s | 149 games
2026-03-23 16:23:57 | week=3 sw=c level=9   | engine_call                  |    5.67s | 15 games
2026-03-23 16:24:04 | week=3 sw=c level=9   | phase1_store_results         |    6.65s | 15 results
2026-03-23 16:24:13 | week=3 sw=c level=3   | engine_call                  |   20.42s | 149 games
2026-03-23 16:24:21 | week=3 sw=c level=3   | phase1_store_results         |    7.56s | 149 results
2026-03-23 16:24:26 | week=3 sw=c level=9   | phase2_stat_accum            |    5.01s | 15 results
2026-03-23 16:24:26 | week=3 sw=c level=9   | phase2_position_usage        |    0.55s | 
